words,word_counts,word_frequency
未,4,0.0007952286282306163
遐,3,0.0005964214711729623
痕都斯坦,3,0.0005964214711729623
所稱,3,0.0005964214711729623
特珂克,3,0.0005964214711729623
隨,3,0.0005964214711729623
露,3,0.0005964214711729623
粲,3,0.0005964214711729623
定,3,0.0005964214711729623
披,3,0.0005964214711729623
他,3,0.0005964214711729623
地,3,0.0005964214711729623
元太祖,3,0.0005964214711729623
脂,3,0.0005964214711729623
簇,3,0.0005964214711729623
延喜,3,0.0005964214711729623
作器,3,0.0005964214711729623
思,3,0.0005964214711729623
今,3,0.0005964214711729623
故,3,0.0005964214711729623
徒,3,0.0005964214711729623
適,3,0.0005964214711729623
賦,3,0.0005964214711729623
的,3,0.0005964214711729623
雙耳,3,0.0005964214711729623
賜,3,0.0005964214711729623
